"","Date","Date_Exposed","DAE","Pool","Pool_Endo","Group","Endophyte","Distance","Plant","Leaf","Dam","Rhiz","Coll","Pucc","Sept"
"92","8/14/18","8/10/18",4,2,"Endo_Inoc","Exp","Free",0,443,1,"D",1,0,0,0
"93","8/14/18","8/10/18",4,2,"Endo_Inoc","Exp","Free",0,443,2,"ND",0,0,0,0
"94","8/14/18","8/10/18",4,2,"Endo_Inoc","Exp","Free",0,443,3,"ND",0,0,0,0
"95","8/14/18","8/10/18",4,2,"Endo_Inoc","Exp","Free",0,443,4,"ND",0,0,0,0
"96","8/14/18","8/10/18",4,2,"Endo_Inoc","Exp","Free",0,443,5,"ND",0,0,0,0
"97","8/14/18","8/10/18",4,2,"Endo_Inoc","Exp","Free",0,443,6,"ND",0,0,0,0
"98","8/14/18","8/10/18",4,2,"Endo_Inoc","Exp","Free",0,443,7,"ND",0,0,0,0
"99","8/14/18","8/10/18",4,2,"Endo_Inoc","Exp","Inoculated",12,13,1,"D",1,0,0,0
"100","8/14/18","8/10/18",4,2,"Endo_Inoc","Exp","Inoculated",12,13,2,"D",1,0,0,0
"101","8/14/18","8/10/18",4,2,"Endo_Inoc","Exp","Inoculated",12,13,3,"D",1,0,0,0
"102","8/14/18","8/10/18",4,2,"Endo_Inoc","Exp","Inoculated",12,13,4,"D",1,0,0,0
"103","8/14/18","8/10/18",4,2,"Endo_Inoc","Exp","Inoculated",12,13,5,"ND",0,0,0,0
"104","8/14/18","8/10/18",4,2,"Endo_Inoc","Exp","Inoculated",12,13,6,"ND",0,0,0,0
"105","8/14/18","8/10/18",4,2,"Endo_Inoc","Exp","Inoculated",12,13,7,"ND",0,0,0,0
"106","8/14/18","8/10/18",4,2,"Endo_Inoc","Exp","Confirmed",12,194,1,"ND",0,0,0,0
"107","8/14/18","8/10/18",4,2,"Endo_Inoc","Exp","Confirmed",12,194,2,"ND",0,0,0,0
"108","8/14/18","8/10/18",4,2,"Endo_Inoc","Exp","Confirmed",12,194,3,"ND",0,0,0,0
"109","8/14/18","8/10/18",4,2,"Endo_Inoc","Exp","Confirmed",12,194,4,"ND",0,0,0,0
"110","8/14/18","8/10/18",4,2,"Endo_Inoc","Exp","Confirmed",12,194,5,"ND",0,0,0,0
"111","8/14/18","8/10/18",4,2,"Endo_Inoc","Exp","Confirmed",12,194,6,"ND",0,0,0,0
"112","8/14/18","8/10/18",4,2,"Endo_Inoc","Exp","Confirmed",12,194,7,"ND",0,0,0,0
"113","8/14/18","8/10/18",4,2,"Endo_Inoc","Exp","Inoculated",12,56,1,"D",0,1,0,0
"114","8/14/18","8/10/18",4,2,"Endo_Inoc","Exp","Inoculated",12,56,2,"D",1,0,0,0
"115","8/14/18","8/10/18",4,2,"Endo_Inoc","Exp","Inoculated",12,56,3,"ND",0,0,0,0
"116","8/14/18","8/10/18",4,2,"Endo_Inoc","Exp","Inoculated",12,56,4,"ND",0,0,0,0
"117","8/14/18","8/10/18",4,2,"Endo_Inoc","Exp","Inoculated",12,56,5,"ND",0,0,0,0
